# n m
 121 38
# job ptime rdate deadline
 1 78 2486 2545
 2 144 2060 2119
 3 115 3604 3663
 4 87 3517 3576
 5 77 300 359
 6 60 2334 3310
 7 42 2111 2818
 8 30 2779 3355
 9 25 3132 3191
 10 80 2177 2236
 11 98 1888 1947
 12 141 1711 1770
 13 50 1806 3066
 14 70 3447 3506
 15 79 1873 3250
 16 50 1848 3141
 17 80 1831 3264
 18 87 1450 1509
 19 70 2399 2458
 20 48 1881 2775
 21 98 2369 2428
 22 24 2474 2533
 23 24 2716 2775
 24 68 2418 2477
 25 68 2350 2409
 26 65 2145 2204
 27 71 4667 4726
 28 64 3521 3580
 29 63 3266 3325
 30 64 3393 3452
 31 64 3168 3227
 32 64 2977 3036
 33 64 3683 3742
 34 103 845 904
 35 62 3811 3870
 36 60 3873 3932
 37 64 3457 3516
 38 71 2210 2269
 39 51 1069 1128
 40 33 2984 3599
 41 81 3291 3350
 42 32 293 352
 43 30 1499 1558
 44 17 16 75
 45 33 110 1000
 46 22 753 812
 47 21 671 730
 48 26 692 751
 49 38 255 314
 50 81 718 2312
 51 36 896 955
 52 20 932 991
 53 13 1555 1614
 54 25 2627 2686
 55 26 413 472
 56 36 1268 1327
 57 17 422 481
 58 24 439 498
 59 25 1842 1901
 60 34 3585 3644
 61 56 94 2321
 62 89 370 1641
 63 9 246 305
 64 35 219 310
 65 33 2801 3690
 66 31 2103 2162
 67 25 1111 1170
 68 87 1419 1478
 69 15 1221 1280
 70 15 1 60
 71 29 304 363
 72 15 2962 3021
 73 58 3447 3506
 74 26 537 1254
 75 69 3141 3200
 76 81 3210 3269
 77 69 3372 3431
 78 20 521 651
 79 117 525 643
 80 29 439 498
 81 64 2351 2410
 82 62 915 3263
 83 69 3522 3581
 84 36 2257 2316
 85 33 3286 3572
 86 81 3441 3500
 87 76 1867 1926
 88 98 3157 3216
 89 56 227 409
 90 60 3933 3992
 91 69 468 527
 92 89 1851 3256
 93 68 2564 2623
 94 75 2632 2691
 95 89 2134 2193
 96 75 2707 2766
 97 63 3105 3164
 98 76 4069 4128
 99 76 4221 4280
 100 76 4335 4394
 101 76 4145 4204
 102 38 4297 4356
 103 71 4411 4470
 104 76 4482 4541
 105 71 4558 4617
 106 38 4629 4688
 107 82 1671 1730
 108 31 3163 3222
 109 24 2031 2090
 110 87 1875 3268
 111 98 2223 2282
 112 50 3057 3116
 113 59 2972 3031
 114 76 2551 2610
 115 81 2318 2377
 116 82 2469 2528
 117 64 3041 3100
 118 71 4738 4797
 119 64 3329 3388
 120 64 3619 3678
 121 64 3747 3806
