# n m
 56 33
# job ptime rdate deadline
 1 43 390 449
 2 57 538 597
 3 35 789 848
 4 33 893 952
 5 70 926 985
 6 33 1238 1297
 7 40 1719 1778
 8 85 1794 1853
 9 60 1749 1816
 10 103 2105 2164
 11 172 1974 2492
 12 94 1645 1749
 13 196 2422 2481
 14 98 3027 3086
 15 79 2840 2899
 16 48 3130 3189
 17 143 250 309
 18 29 112 171
 19 51 144 203
 20 106 141 200
 21 35 1043 1102
 22 90 110 169
 23 66 989 1048
 24 77 897 1026
 25 49 1288 1347
 26 45 1391 1450
 27 119 2901 2960
 28 56 958 1088
 29 30 1217 1276
 30 36 1108 1167
 31 43 996 1055
 32 85 1415 1474
 33 36 1679 1738
 34 133 2331 2390
 35 20 1217 1276
 36 32 1431 1490
 37 107 335 1152
 38 38 1155 1214
 39 63 1130 1189
 40 80 497 613
 41 29 720 792
 42 36 1305 1364
 43 59 438 497
 44 48 1134 1193
 45 45 824 883
 46 125 2298 2357
 47 73 1223 1282
 48 27 64 139
 49 59 957 1016
 50 35 1019 1078
 51 49 871 930
 52 103 920 979
 53 46 306 365
 54 43 1180 1239
 55 27 1 60
 56 119 247 306
