# n m
 137 30
# job ptime rdate deadline
 1 93 883 942
 2 119 1169 1228
 3 27 2409 2468
 4 80 937 996
 5 83 1978 2037
 6 89 1 60
 7 190 1354 1521
 8 165 1300 1456
 9 77 1337 1396
 10 136 1392 2157
 11 45 2415 2474
 12 76 717 776
 13 31 2585 2670
 14 299 775 1377
 15 90 834 904
 16 56 2336 2395
 17 209 854 913
 18 219 1160 1219
 19 98 1115 1174
 20 138 1107 1184
 21 28 2622 2681
 22 182 1213 2075
 23 138 1181 1963
 24 94 1383 1442
 25 119 1209 1323
 26 135 1469 2096
 27 163 1509 2301
 28 116 1455 2068
 29 112 1560 1934
 30 162 1544 1603
 31 88 1526 1585
 32 117 1568 2238
 33 139 1582 2031
 34 166 1695 2522
 35 98 1660 1719
 36 149 1758 2060
 37 129 1754 2132
 38 128 1730 2406
 39 82 1706 1765
 40 52 1836 1895
 41 75 1848 1946
 42 94 1869 2227
 43 100 1833 2648
 44 117 1905 2134
 45 81 1909 1968
 46 122 1918 2124
 47 98 1888 2096
 48 212 2122 2204
 49 127 1854 2141
 50 131 2039 2098
 51 124 1989 2595
 52 85 2012 2208
 53 132 2003 2416
 54 113 2132 2525
 55 97 2072 2586
 56 82 2126 2307
 57 79 2138 2264
 58 87 2219 2419
 59 104 2173 2570
 60 83 2130 2189
 61 141 2170 2448
 62 85 2223 2443
 63 100 2199 2472
 64 89 2234 2387
 65 102 2235 2584
 66 226 2213 2324
 67 83 2270 2525
 68 105 2230 2502
 69 86 2300 2417
 70 68 2527 2586
 71 138 2279 2603
 72 60 2276 2335
 73 111 2405 2657
 74 62 2322 2381
 75 69 2384 2552
 76 84 2431 2614
 77 79 2482 2541
 78 110 2493 2580
 79 90 2491 2632
 80 35 2503 2562
 81 149 2493 2626
 82 72 2562 2621
 83 64 2645 2704
 84 70 2709 2768
 85 142 1087 2637
 86 232 1492 1551
 87 256 1652 1773
 88 163 1867 1926
 89 89 2081 2140
 90 180 1680 2340
 91 92 1766 2429
 92 95 1952 2011
 93 38 2100 2218
 94 208 1970 2029
 95 170 2075 2134
 96 116 2150 2209
 97 114 2146 2427
 98 57 2111 2253
 99 140 2232 2334
 100 85 2554 2712
 101 93 2281 2340
 102 151 2296 2500
 103 49 2505 2597
 104 115 2351 2410
 105 117 2374 2460
 106 63 2462 2627
 107 89 2511 2645
 108 87 2475 2557
 109 81 2518 2577
 110 56 2582 2641
 111 52 2516 2575
 112 40 2553 2764
 113 49 2635 2732
 114 56 2613 2672
 115 72 2665 2724
 116 119 1456 2458
 117 93 1538 1798
 118 75 1221 1280
 119 128 1990 2144
 120 106 1986 2115
 121 96 2315 2374
 122 208 2200 2278
 123 99 2284 2513
 124 75 2358 2538
 125 124 2411 2470
 126 103 2583 2674
 127 47 2663 2737
 128 157 1288 2343
 129 178 1114 1173
 130 83 1955 2014
 131 144 2183 2242
 132 31 2634 2693
 133 56 2634 2693
 134 112 2427 2486
 135 50 2709 2768
 136 69 2568 2698
 137 56 2689 2748
