# n m
 130 37
# job ptime rdate deadline
 1 122 1414 1473
 2 13 1443 1502
 3 124 499 558
 4 47 405 464
 5 98 355 1228
 6 113 455 514
 7 91 584 643
 8 77 549 608
 9 162 610 1039
 10 153 588 647
 11 96 728 924
 12 147 658 777
 13 111 741 840
 14 142 799 1021
 15 34 876 935
 16 76 1249 1364
 17 101 243 771
 18 118 304 790
 19 82 716 775
 20 57 813 872
 21 69 849 908
 22 49 635 710
 23 36 1459 1518
 24 112 65 124
 25 130 222 399
 26 50 587 672
 27 122 194 439
 28 135 364 662
 29 53 876 954
 30 83 694 895
 31 104 738 873
 32 97 764 962
 33 117 771 830
 34 74 779 838
 35 90 944 1003
 36 101 1001 1060
 37 120 1107 1457
 38 110 1421 1552
 39 133 1401 1607
 40 113 1055 1114
 41 107 1166 1452
 42 45 1428 1574
 43 47 1619 1678
 44 139 92 1253
 45 79 160 505
 46 37 229 694
 47 131 184 1111
 48 118 708 767
 49 113 328 1066
 50 58 363 422
 51 99 389 821
 52 188 421 836
 53 77 527 900
 54 87 714 806
 55 93 556 922
 56 86 388 1296
 57 80 476 535
 58 117 575 647
 59 105 519 979
 60 85 705 764
 61 102 777 836
 62 115 714 1034
 63 79 854 913
 64 83 971 1030
 65 64 1118 1451
 66 62 1237 1296
 67 86 1030 1152
 68 138 1183 1254
 69 98 1096 1155
 70 75 1194 1253
 71 29 1585 1644
 72 104 1323 1382
 73 99 1311 1413
 74 113 1472 1531
 75 56 941 1000
 76 108 406 1027
 77 32 454 513
 78 123 671 1571
 79 113 910 1260
 80 45 967 1026
 81 89 997 1056
 82 13 1504 1563
 83 54 350 409
 84 101 980 1153
 85 149 176 548
 86 118 353 752
 87 157 318 451
 88 108 646 799
 89 135 749 913
 90 143 818 1082
 91 59 1087 1146
 92 54 1207 1266
 93 79 1287 1346
 94 51 280 339
 95 41 217 276
 96 106 165 1190
 97 44 476 535
 98 27 789 848
 99 94 626 939
 100 25 1479 1538
 101 16 757 816
 102 40 876 935
 103 139 193 639
 104 92 128 346
 105 106 236 1262
 106 77 303 622
 107 208 564 748
 108 70 918 1466
 109 89 1054 1159
 110 128 1039 1098
 111 33 1439 1498
 112 35 909 968
 113 115 1426 1485
 114 24 1050 1109
 115 87 1006 1074
 116 34 989 1312
 117 56 180 239
 118 87 604 1078
 119 136 850 909
 120 68 431 490
 121 38 933 992
 122 106 1146 1205
 123 19 1269 1328
 124 72 1 60
 125 48 112 171
 126 52 177 236
 127 59 244 303
 128 74 380 439
 129 88 1274 1333
 130 59 1333 1392

