# n m
 48 13
# job ptime rdate deadline
 1 122 1 356
 2 116 115 461
 3 115 560 619
 4 30 915 974
 5 140 1136 1195
 6 140 196 268
 7 56 300 359
 8 36 518 577
 9 90 1588 1647
 10 86 1588 1647
 11 90 1674 1733
 12 90 1678 1737
 13 86 1764 1823
 14 86 1768 1827
 15 90 1850 1909
 16 86 1854 1913
 17 90 1940 1999
 18 90 1940 1999
 19 90 2030 2089
 20 90 2030 2089
 21 79 1449 1508
 22 79 1528 1587
 23 79 1607 1666
 24 80 1635 1694
 25 80 1715 1774
 26 83 1795 1854
 27 79 1878 1937
 28 84 1969 2028
 29 99 1449 1508
 30 87 1548 1607
 31 97 1686 1745
 32 97 1783 1842
 33 89 1880 1939
 34 89 2046 2105
 35 89 1957 2016
 36 88 2168 2227
 37 79 1913 1972
 38 79 2178 2237
 39 80 2088 2147
 40 89 2089 2148
 41 99 1814 1873
 42 92 2339 2398
 43 88 2001 2060
 44 96 1992 2051
 45 91 2256 2315
 46 82 2257 2316
 47 91 1820 1879
 48 90 1911 1970
