# n m
 265 43
# job ptime rdate deadline
 1 84 1551 1610
 2 104 615 674
 3 82 2203 2262
 4 109 733 978
 5 88 4638 4697
 6 109 3787 3846
 7 82 1498 1646
 8 136 2859 2918
 9 96 3606 3665
 10 89 1867 1926
 11 143 2141 2342
 12 142 2156 2284
 13 142 2478 2537
 14 148 1576 1962
 15 130 2426 2620
 16 96 356 963
 17 98 4540 4599
 18 124 568 1310
 19 100 821 1156
 20 112 728 785
 21 94 4527 4586
 22 111 2242 2301
 23 91 2863 2922
 24 137 709 768
 25 115 575 1375
 26 96 4402 4461
 27 127 1982 2041
 28 90 4716 4775
 29 99 1742 1801
 30 95 2353 2412
 31 88 3095 3154
 32 92 4806 4865
 33 110 3996 4055
 34 102 3084 3143
 35 119 548 1682
 36 145 2691 2905
 37 135 2439 2554
 38 79 1305 1554
 39 99 983 1059
 40 100 687 746
 41 39 763 822
 42 93 4302 4361
 43 101 4295 4354
 44 134 1669 1863
 45 107 3486 3545
 46 80 1287 1395
 47 89 3579 3638
 48 126 1742 1801
 49 90 4130 4189
 50 69 2304 2363
 51 95 423 493
 52 95 4621 4680
 53 111 1733 1792
 54 109 1578 1783
 55 130 2112 2171
 56 109 3470 3529
 57 84 4106 4165
 58 94 1433 1492
 59 72 2009 2068
 60 160 1789 1848
 61 95 1295 1542
 62 158 647 706
 63 87 3217 3276
 64 141 2620 2679
 65 103 580 863
 66 102 3569 3628
 67 97 1562 1695
 68 101 3349 3408
 69 111 3767 3826
 70 140 2761 2820
 71 155 2704 2840
 72 98 648 920
 73 100 3687 3746
 74 101 4301 4360
 75 109 1873 1932
 76 89 3763 3822
 77 102 2954 3013
 78 143 2901 2960
 79 113 1969 2028
 80 78 956 1015
 81 98 3196 3255
 82 91 548 666
 83 94 3593 3652
 84 87 2081 2140
 85 81 2396 2455
 86 95 3668 3727
 87 63 2146 2205
 88 55 2022 2081
 89 66 2209 2268
 90 95 2368 2427
 91 74 2119 2178
 92 63 2135 2194
 93 69 2077 2136
 94 59 2076 2135
 95 77 2101 2160
 96 78 637 709
 97 15 2520 2579
 98 15 2363 2422
 99 15 3024 3083
 100 15 2754 2813
 101 15 2581 2640
 102 82 65 208
 103 30 959 1186
 104 43 267 326
 105 23 1499 1558
 106 38 950 1674
 107 17 48 107
 108 55 553 612
 109 40 3017 3076
 110 26 2177 2236
 111 45 278 337
 112 26 1841 1900
 113 34 334 393
 114 48 1653 1712
 115 46 1330 1535
 116 29 1184 1243
 117 21 647 706
 118 42 1109 1168
 119 34 634 1157
 120 28 60 119
 121 23 108 167
 122 55 58 311
 123 67 94 153
 124 134 105 1403
 125 77 88 152
 126 86 131 190
 127 100 1 60
 128 114 178 1559
 129 116 115 174
 130 76 206 279
 131 92 185 244
 132 96 173 232
 133 68 2051 2110
 134 15 2694 2753
 135 15 2841 2900
 136 29 1769 1828
 137 74 132 191
 138 42 363 422
 139 43 541 620
 140 40 632 706
 141 23 1484 1587
 142 56 457 516
 143 37 513 585
 144 45 144 481
 145 34 2078 2137
 146 31 17 76
 147 24 154 213
 148 86 48 172
 149 112 26 1707
 150 66 68 127
 151 119 239 1556
 152 99 228 287
 153 15 2566 2625
 154 67 2198 2257
 155 67 2009 2068
 156 15 2633 2692
 157 30 1482 1745
 158 31 629 1235
 159 43 4 63
 160 170 56 852
 161 26 841 900
 162 107 39 194
 163 27 604 663
 164 86 278 393
 165 55 1371 1566
 166 45 2579 2638
 167 23 907 966
 168 15 170 229
 169 78 16 75
 170 61 47 106
 171 102 176 235
 172 94 199 258
 173 68 2193 2252
 174 15 2870 2929
 175 39 38 137
 176 113 19 78
 177 72 25 84
 178 150 26 85
 179 68 2033 2092
 180 36 24 83
 181 67 161 220
 182 36 293 352
 183 114 282 719
 184 140 299 499
 185 101 233 292
 186 45 1697 1756
 187 116 366 1657
 188 80 342 423
 189 111 276 335
 190 103 400 524
 191 83 402 461
 192 127 396 753
 193 181 383 946
 194 15 2489 2548
 195 81 467 526
 196 86 433 492
 197 118 443 589
 198 106 1591 1650
 199 123 518 617
 200 140 549 1053
 201 105 698 1226
 202 111 2285 2344
 203 97 2080 2139
 204 152 2463 2522
 205 105 1760 1819
 206 140 1162 1270
 207 91 838 1152
 208 114 845 1202
 209 125 807 866
 210 115 1854 1913
 211 130 1000 1224
 212 111 1260 1332
 213 117 1034 1093
 214 83 1143 1206
 215 105 1956 2015
 216 94 1280 1653
 217 84 1347 1457
 218 180 1439 1519
 219 143 1344 1651
 220 127 1656 1715
 221 122 1783 1842
 222 115 2025 2084
 223 105 2405 2565
 224 101 2470 2529
 225 90 2611 2670
 226 96 2701 2760
 227 101 2797 2856
 228 91 2898 2957
 229 90 2989 3048
 230 91 3079 3138
 231 105 2405 2572
 232 108 2470 2529
 233 108 2618 2677
 234 89 2726 2785
 235 103 2405 2553
 236 89 2468 2527
 237 80 2597 2656
 238 88 2677 2736
 239 90 2765 2824
 240 93 2855 2914
 241 88 2948 3007
 242 81 2828 2887
 243 108 2909 2968
 244 72 3057 3116
 245 72 1332 1714
 246 66 1404 1571
 247 76 1487 1546
 248 91 1356 1633
 249 95 2405 2543
 250 79 2460 2519
 251 109 2624 2683
 252 102 2733 2792
 253 79 2835 2894
 254 91 2914 2973
 255 113 2405 2554
 256 90 2478 2537
 257 88 2608 2667
 258 80 2696 2755
 259 79 2776 2835
 260 88 2855 2914
 261 95 2178 2237
 262 95 3411 3470
 263 95 2273 2332
 264 74 3506 3565
 265 108 3036 3095
