# n m
 194 32
# job ptime rdate deadline
 1 61 3405 3464
 2 51 1166 1225
 3 26 1141 2019
 4 80 2100 2159
 5 18 1805 2964
 6 11 2974 3033
 7 120 1094 1269
 8 61 3770 3829
 9 14 2006 2065
 10 39 725 2527
 11 61 3344 3403
 12 31 1139 1333
 13 20 788 847
 14 64 1943 2243
 15 62 3466 3525
 16 13 1368 1427
 17 26 1070 1129
 18 93 2657 2716
 19 61 3709 3768
 20 66 1447 1655
 21 9 2813 2872
 22 74 898 2845
 23 73 1656 2007
 24 103 758 2957
 25 89 1266 2828
 26 65 2089 2148
 27 39 3654 3713
 28 40 788 1366
 29 46 1340 2702
 30 20 728 787
 31 59 2606 2665
 32 18 1128 1187
 33 42 1103 1214
 34 47 1123 1679
 35 57 788 2128
 36 33 1700 1907
 37 55 2407 2466
 38 20 828 887
 39 32 848 1298
 40 35 768 1194
 41 71 600 659
 42 69 1464 1523
 43 29 1409 1474
 44 15 1063 1122
 45 29 2413 2472
 46 71 1634 1693
 47 44 2049 2178
 48 20 848 907
 49 73 1485 3052
 50 101 1398 1509
 51 19 403 462
 52 43 1171 2190
 53 50 999 2551
 54 53 1096 2628
 55 19 1490 1549
 56 49 1082 1141
 57 26 4354 4413
 58 45 853 912
 59 11 1039 2938
 60 20 993 1052
 61 40 728 1346
 62 95 748 1604
 63 71 1033 1666
 64 18 2170 2229
 65 35 808 1579
 66 37 1013 1634
 67 20 1053 1112
 68 20 808 867
 69 64 828 2306
 70 15 1033 1092
 71 15 1018 1077
 72 15 1413 1497
 73 45 2984 3043
 74 142 87 5212
 75 39 1216 2408
 76 35 1021 2064
 77 29 1235 1294
 78 26 1037 2157
 79 40 2174 2233
 80 67 2622 2681
 81 99 92 2903
 82 30 4015 4074
 83 59 4746 4805
 84 37 793 2408
 85 50 2419 2478
 86 14 1561 1620
 87 20 728 787
 88 28 2767 2826
 89 19 2748 2807
 90 15 1755 1814
 91 26 1463 1522
 92 19 2149 2208
 93 25 1048 1498
 94 18 2395 2454
 95 80 808 1102
 96 83 1536 2380
 97 45 1630 2157
 98 43 49 108
 99 56 1334 1946
 100 67 1126 2521
 101 107 1045 2987
 102 17 4055 4114
 103 31 4380 4439
 104 65 728 787
 105 45 808 867
 106 48 3462 3521
 107 30 1678 1737
 108 30 1193 1252
 109 34 1033 2227
 110 33 1534 2198
 111 39 1078 2360
 112 30 1 1094
 113 49 1641 1700
 114 42 2436 2495
 115 14 1476 1535
 116 68 1162 2782
 117 13 1225 1284
 118 20 748 807
 119 89 1093 2573
 120 46 1362 2726
 121 23 2245 2304
 122 18 2299 2358
 123 19 1541 2051
 124 60 4411 4470
 125 41 1149 1648
 126 40 748 2582
 127 76 18 2092
 128 46 1614 1951
 129 47 1141 2391
 130 55 1917 1976
 131 52 1582 1641
 132 30 2469 2528
 133 20 1173 1232
 134 43 2134 2283
 135 44 1093 1152
 136 74 1127 1201
 137 31 1506 1572
 138 9 1544 1603
 139 37 1175 1234
 140 52 1165 2375
 141 107 1738 2576
 142 58 2022 2081
 143 22 1429 1536
 144 21 1368 1427
 145 51 1074 2326
 146 89 1690 2765
 147 63 1959 2018
 148 11 1183 1242
 149 43 2011 2070
 150 122 2705 2764
 151 61 4685 4744
 152 61 4624 4683
 153 62 4562 4621
 154 61 3831 3890
 155 61 3770 3829
 156 61 3709 3768
 157 62 3892 3951
 158 21 1938 1997
 159 39 1880 1939
 160 39 1330 2509
 161 30 2883 2942
 162 25 4985 5044
 163 25 5010 5069
 164 25 5035 5094
 165 25 5060 5119
 166 61 4166 4225
 167 26 5085 5144
 168 21 1383 1442
 169 30 2943 3002
 170 41 1253 1312
 171 68 796 855
 172 38 339 424
 173 61 3528 3587
 174 92 829 888
 175 25 1264 1323
 176 33 2624 2683
 177 28 2988 3047
 178 16 2867 2926
 179 40 2689 2748
 180 96 1110 2992
 181 16 2985 3044
 182 11 968 1027
 183 30 4072 4131
 184 30 5111 5170
 185 62 3831 3890
 186 61 3893 3952
 187 46 5141 5200
 188 46 5187 5246
 189 55 4805 4864
 190 25 4860 4919
 191 25 4885 4944
 192 25 4910 4969
 193 25 4960 5019
 194 25 4935 4994
